Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species,SepalArea,PetalArea
1,5.1,3.5,1.4,0.2,Iris-setosa,17.849999999999998,0.27999999999999997
2,4.9,3.0,1.4,0.2,Iris-setosa,14.700000000000001,0.27999999999999997
3,4.7,3.2,1.3,0.2,Iris-setosa,15.040000000000001,0.26
4,4.6,3.1,1.5,0.2,Iris-setosa,14.26,0.30000000000000004
5,5.0,3.6,1.4,0.2,Iris-setosa,18.0,0.27999999999999997
6,5.4,3.9,1.7,0.4,Iris-setosa,21.060000000000002,0.68
7,4.6,3.4,1.4,0.3,Iris-setosa,15.639999999999999,0.42
8,5.0,3.4,1.5,0.2,Iris-setosa,17.0,0.30000000000000004
9,4.4,2.9,1.4,0.2,Iris-setosa,12.76,0.27999999999999997
10,4.9,3.1,1.5,0.1,Iris-setosa,15.190000000000001,0.15000000000000002
11,5.4,3.7,1.5,0.2,Iris-setosa,19.980000000000004,0.30000000000000004
12,4.8,3.4,1.6,0.2,Iris-setosa,16.32,0.32000000000000006
13,4.8,3.0,1.4,0.1,Iris-setosa,14.399999999999999,0.13999999999999999
14,4.3,3.0,1.1,0.1,Iris-setosa,12.899999999999999,0.11000000000000001
15,5.8,4.0,1.2,0.2,Iris-setosa,23.2,0.24
16,5.7,4.4,1.5,0.4,Iris-setosa,25.080000000000002,0.6000000000000001
17,5.4,3.9,1.3,0.4,Iris-setosa,21.060000000000002,0.52
18,5.1,3.5,1.4,0.3,Iris-setosa,17.849999999999998,0.42
19,5.7,3.8,1.7,0.3,Iris-setosa,21.66,0.51
20,5.1,3.8,1.5,0.3,Iris-setosa,19.38,0.44999999999999996
21,5.4,3.4,1.7,0.2,Iris-setosa,18.36,0.34
22,5.1,3.7,1.5,0.4,Iris-setosa,18.87,0.6000000000000001
23,4.6,3.6,1.0,0.2,Iris-setosa,16.56,0.2
24,5.1,3.3,1.7,0.5,Iris-setosa,16.83,0.85
25,4.8,3.4,1.9,0.2,Iris-setosa,16.32,0.38
26,5.0,3.0,1.6,0.2,Iris-setosa,15.0,0.32000000000000006
27,5.0,3.4,1.6,0.4,Iris-setosa,17.0,0.6400000000000001
28,5.2,3.5,1.5,0.2,Iris-setosa,18.2,0.30000000000000004
29,5.2,3.4,1.4,0.2,Iris-setosa,17.68,0.27999999999999997
30,4.7,3.2,1.6,0.2,Iris-setosa,15.040000000000001,0.32000000000000006
31,4.8,3.1,1.6,0.2,Iris-setosa,14.879999999999999,0.32000000000000006
32,5.4,3.4,1.5,0.4,Iris-setosa,18.36,0.6000000000000001
33,5.2,4.1,1.5,0.1,Iris-setosa,21.32,0.15000000000000002
34,5.5,4.2,1.4,0.2,Iris-setosa,23.1,0.27999999999999997
35,4.9,3.1,1.5,0.1,Iris-setosa,15.190000000000001,0.15000000000000002
36,5.0,3.2,1.2,0.2,Iris-setosa,16.0,0.24
37,5.5,3.5,1.3,0.2,Iris-setosa,19.25,0.26
38,4.9,3.1,1.5,0.1,Iris-setosa,15.190000000000001,0.15000000000000002
39,4.4,3.0,1.3,0.2,Iris-setosa,13.200000000000001,0.26
40,5.1,3.4,1.5,0.2,Iris-setosa,17.34,0.30000000000000004
41,5.0,3.5,1.3,0.3,Iris-setosa,17.5,0.39
42,4.5,2.3,1.3,0.3,Iris-setosa,10.35,0.39
43,4.4,3.2,1.3,0.2,Iris-setosa,14.080000000000002,0.26
44,5.0,3.5,1.6,0.6,Iris-setosa,17.5,0.96
45,5.1,3.8,1.9,0.4,Iris-setosa,19.38,0.76
46,4.8,3.0,1.4,0.3,Iris-setosa,14.399999999999999,0.42
47,5.1,3.8,1.6,0.2,Iris-setosa,19.38,0.32000000000000006
48,4.6,3.2,1.4,0.2,Iris-setosa,14.719999999999999,0.27999999999999997
49,5.3,3.7,1.5,0.2,Iris-setosa,19.61,0.30000000000000004
50,5.0,3.3,1.4,0.2,Iris-setosa,16.5,0.27999999999999997
51,7.0,3.2,4.7,1.4,Iris-versicolor,22.400000000000002,6.58
52,6.4,3.2,4.5,1.5,Iris-versicolor,20.480000000000004,6.75
53,6.9,3.1,4.9,1.5,Iris-versicolor,21.39,7.3500000000000005
54,5.5,2.3,4.0,1.3,Iris-versicolor,12.649999999999999,5.2
55,6.5,2.8,4.6,1.5,Iris-versicolor,18.2,6.8999999999999995
56,5.7,2.8,4.5,1.3,Iris-versicolor,15.959999999999999,5.8500000000000005
57,6.3,3.3,4.7,1.6,Iris-versicolor,20.79,7.5200000000000005
58,4.9,2.4,3.3,1.0,Iris-versicolor,11.76,3.3
59,6.6,2.9,4.6,1.3,Iris-versicolor,19.139999999999997,5.9799999999999995
60,5.2,2.7,3.9,1.4,Iris-versicolor,14.040000000000001,5.46
61,5.0,2.0,3.5,1.0,Iris-versicolor,10.0,3.5
62,5.9,3.0,4.2,1.5,Iris-versicolor,17.700000000000003,6.300000000000001
63,6.0,2.2,4.0,1.0,Iris-versicolor,13.200000000000001,4.0
64,6.1,2.9,4.7,1.4,Iris-versicolor,17.689999999999998,6.58
65,5.6,2.9,3.6,1.3,Iris-versicolor,16.24,4.680000000000001
66,6.7,3.1,4.4,1.4,Iris-versicolor,20.77,6.16
67,5.6,3.0,4.5,1.5,Iris-versicolor,16.799999999999997,6.75
68,5.8,2.7,4.1,1.0,Iris-versicolor,15.66,4.1
69,6.2,2.2,4.5,1.5,Iris-versicolor,13.640000000000002,6.75
70,5.6,2.5,3.9,1.1,Iris-versicolor,14.0,4.29
71,5.9,3.2,4.8,1.8,Iris-versicolor,18.880000000000003,8.64
72,6.1,2.8,4.0,1.3,Iris-versicolor,17.08,5.2
73,6.3,2.5,4.9,1.5,Iris-versicolor,15.75,7.3500000000000005
74,6.1,2.8,4.7,1.2,Iris-versicolor,17.08,5.64
75,6.4,2.9,4.3,1.3,Iris-versicolor,18.56,5.59
76,6.6,3.0,4.4,1.4,Iris-versicolor,19.799999999999997,6.16
77,6.8,2.8,4.8,1.4,Iris-versicolor,19.04,6.72
78,6.7,3.0,5.0,1.7,Iris-versicolor,20.1,8.5
79,6.0,2.9,4.5,1.5,Iris-versicolor,17.4,6.75
80,5.7,2.6,3.5,1.0,Iris-versicolor,14.82,3.5
81,5.5,2.4,3.8,1.1,Iris-versicolor,13.2,4.18
82,5.5,2.4,3.7,1.0,Iris-versicolor,13.2,3.7
83,5.8,2.7,3.9,1.2,Iris-versicolor,15.66,4.68
84,6.0,2.7,5.1,1.6,Iris-versicolor,16.200000000000003,8.16
85,5.4,3.0,4.5,1.5,Iris-versicolor,16.200000000000003,6.75
86,6.0,3.4,4.5,1.6,Iris-versicolor,20.4,7.2
87,6.7,3.1,4.7,1.5,Iris-versicolor,20.77,7.050000000000001
88,6.3,2.3,4.4,1.3,Iris-versicolor,14.489999999999998,5.720000000000001
89,5.6,3.0,4.1,1.3,Iris-versicolor,16.799999999999997,5.33
90,5.5,2.5,4.0,1.3,Iris-versicolor,13.75,5.2
91,5.5,2.6,4.4,1.2,Iris-versicolor,14.3,5.28
92,6.1,3.0,4.6,1.4,Iris-versicolor,18.299999999999997,6.4399999999999995
93,5.8,2.6,4.0,1.2,Iris-versicolor,15.08,4.8
94,5.0,2.3,3.3,1.0,Iris-versicolor,11.5,3.3
95,5.6,2.7,4.2,1.3,Iris-versicolor,15.12,5.460000000000001
96,5.7,3.0,4.2,1.2,Iris-versicolor,17.1,5.04
97,5.7,2.9,4.2,1.3,Iris-versicolor,16.53,5.460000000000001
98,6.2,2.9,4.3,1.3,Iris-versicolor,17.98,5.59
99,5.1,2.5,3.0,1.1,Iris-versicolor,12.75,3.3000000000000003
100,5.7,2.8,4.1,1.3,Iris-versicolor,15.959999999999999,5.33
101,6.3,3.3,6.0,2.5,Iris-virginica,20.79,15.0
102,5.8,2.7,5.1,1.9,Iris-virginica,15.66,9.69
103,7.1,3.0,5.9,2.1,Iris-virginica,21.299999999999997,12.39
104,6.3,2.9,5.6,1.8,Iris-virginica,18.27,10.08
105,6.5,3.0,5.8,2.2,Iris-virginica,19.5,12.76
106,7.6,3.0,6.6,2.1,Iris-virginica,22.799999999999997,13.86
107,4.9,2.5,4.5,1.7,Iris-virginica,12.25,7.6499999999999995
108,7.3,2.9,6.3,1.8,Iris-virginica,21.169999999999998,11.34
109,6.7,2.5,5.8,1.8,Iris-virginica,16.75,10.44
110,7.2,3.6,6.1,2.5,Iris-virginica,25.92,15.25
111,6.5,3.2,5.1,2.0,Iris-virginica,20.8,10.2
112,6.4,2.7,5.3,1.9,Iris-virginica,17.28,10.069999999999999
113,6.8,3.0,5.5,2.1,Iris-virginica,20.4,11.55
114,5.7,2.5,5.0,2.0,Iris-virginica,14.25,10.0
115,5.8,2.8,5.1,2.4,Iris-virginica,16.24,12.239999999999998
116,6.4,3.2,5.3,2.3,Iris-virginica,20.480000000000004,12.19
117,6.5,3.0,5.5,1.8,Iris-virginica,19.5,9.9
118,7.7,3.8,6.7,2.2,Iris-virginica,29.259999999999998,14.740000000000002
119,7.7,2.6,6.9,2.3,Iris-virginica,20.02,15.87
120,6.0,2.2,5.0,1.5,Iris-virginica,13.200000000000001,7.5
121,6.9,3.2,5.7,2.3,Iris-virginica,22.080000000000002,13.11
122,5.6,2.8,4.9,2.0,Iris-virginica,15.679999999999998,9.8
123,7.7,2.8,6.7,2.0,Iris-virginica,21.56,13.4
124,6.3,2.7,4.9,1.8,Iris-virginica,17.01,8.82
125,6.7,3.3,5.7,2.1,Iris-virginica,22.11,11.97
126,7.2,3.2,6.0,1.8,Iris-virginica,23.040000000000003,10.8
127,6.2,2.8,4.8,1.8,Iris-virginica,17.36,8.64
128,6.1,3.0,4.9,1.8,Iris-virginica,18.299999999999997,8.82
129,6.4,2.8,5.6,2.1,Iris-virginica,17.919999999999998,11.76
130,7.2,3.0,5.8,1.6,Iris-virginica,21.6,9.28
131,7.4,2.8,6.1,1.9,Iris-virginica,20.72,11.589999999999998
132,7.9,3.8,6.4,2.0,Iris-virginica,30.02,12.8
133,6.4,2.8,5.6,2.2,Iris-virginica,17.919999999999998,12.32
134,6.3,2.8,5.1,1.5,Iris-virginica,17.639999999999997,7.6499999999999995
135,6.1,2.6,5.6,1.4,Iris-virginica,15.86,7.839999999999999
136,7.7,3.0,6.1,2.3,Iris-virginica,23.1,14.029999999999998
137,6.3,3.4,5.6,2.4,Iris-virginica,21.419999999999998,13.44
138,6.4,3.1,5.5,1.8,Iris-virginica,19.840000000000003,9.9
139,6.0,3.0,4.8,1.8,Iris-virginica,18.0,8.64
140,6.9,3.1,5.4,2.1,Iris-virginica,21.39,11.340000000000002
141,6.7,3.1,5.6,2.4,Iris-virginica,20.77,13.44
142,6.9,3.1,5.1,2.3,Iris-virginica,21.39,11.729999999999999
143,5.8,2.7,5.1,1.9,Iris-virginica,15.66,9.69
144,6.8,3.2,5.9,2.3,Iris-virginica,21.76,13.57
145,6.7,3.3,5.7,2.5,Iris-virginica,22.11,14.25
146,6.7,3.0,5.2,2.3,Iris-virginica,20.1,11.959999999999999
147,6.3,2.5,5.0,1.9,Iris-virginica,15.75,9.5
148,6.5,3.0,5.2,2.0,Iris-virginica,19.5,10.4
149,6.2,3.4,5.4,2.3,Iris-virginica,21.08,12.42
150,5.9,3.0,5.1,1.8,Iris-virginica,17.700000000000003,9.18
